stop_id,stop_name,stop_lat,stop_lon
MASNITA-6894604132,Mașniță,45.4419231,28.0215622
MASNITA-6896006839,Mașniță,45.4446028,28.0227528
MATHAUS-14088247738,Mathaus,45.4244505,28.0051981
MAZEPA-530256106,Mazepa,45.4305181,28.0462169
MEHID-6899023176,Mehid,45.4487085,28.0353274
METRO-6899023161,Metro,45.4842680,28.0325695
MICRO-13-6898532664,Micro 13,45.4505622,28.0196142
MICRO-19-123745651,Micro 19,45.4133153,28.0124752
MICRO-19-CINEMA-DACIA-14099815412,Micro 19 - Cinema Dacia,45.4127965,28.0160185
MICRO-19-CINEMA-DACIA-14099845135,Micro 19 - Cinema Dacia,45.4127353,28.0155827
MICRO-39-14099675535,Micro 39,45.4549811,28.0246749
MICRO-39-14099675536,Micro 39,45.4545274,28.0241876
MICRO-40-6894604126,Micro 40,45.4498837,28.0255999
MINION-1932184796,Minion,45.4267704,28.0164596
MINION-6875294785,Minion,45.4269296,28.0164459
MORUZZI-6896966052,Moruzzi,45.4419211,28.0700939
MORUZZI-6897791669,Moruzzi,45.4420827,28.0699037
MUZEUL-DE-ARTA-6879824376,Muzeul de artă,45.4506850,28.0515363
NAVROM-6892672435,Navrom,45.4317407,28.0617947
NAVROM-6893391138,Navrom,45.4313304,28.0606429
NEACSU-529895200,Neacșu,45.4169588,28.0130412
ODOBESTI-14093679176,Odobești,45.4484206,28.0332957
ODOBESTI-14093719323,Odobești,45.4483589,28.0333398
ORASELUL-COPIILOR-2904472149,Orășelul Copiilor,45.4263668,28.0323841
ORASELUL-COPIILOR-6878887487,Orășelul Copiilor,45.4266689,28.0321033
OTELARILOR-14099815413,Oțelarilor,45.4142919,28.0187489
OTELARILOR-14099845134,Oțelarilor,45.4143649,28.0186512
PADURARULUI-14103873213,Pădurarului,45.5439362,27.9947469
PADURARULUI-14104248907,Pădurarului,45.5438378,27.9946853
PARC-C-F-R-6879824370,Parc C.F.R.,45.4623733,28.0447250
PARC-C-F-R-6928123651,Parc C.F.R.,45.4633441,28.0438172
PARC-CENTRAL-14104199095,Parc Central,45.5316849,28.0135623
PARC-EMINESCU-1932207593,Parc Eminescu,45.4361285,28.0557148
PARC-POLIGONULUI-14103649665,Parc Poligonului,45.4930883,28.0236056
PARCARE-BANCI-6875960831,Parcare - Bănci,45.4292945,28.0414140
PARFUMUL-TEILOR-530257932,Parfumul Teilor,45.4426716,28.0559478
PATINOAR-14099675537,Patinoar,45.4555806,28.0339618
PATINOAR-14099675538,Patinoar,45.4555126,28.0339628
PATINOAR-6895095248,Patinoar,45.4554069,28.0335182
PATINOAR-6899023174,Patinoar,45.4564668,28.0345563
PATINOAR-6899152587,Patinoar,45.4567975,28.0342634
PETRU-GROZA-14088247742,Petru Groza,45.4207347,28.0108704
PIATA-CENTRALA-14101559978,Piața Centrală,45.4378205,28.0494631
PIATA-CENTRALA-6898532656,Piața centrală,45.4379920,28.0491857
PIATA-ENERGIEI-14099815421,Piața Energiei,45.4397444,28.0213445
PIATA-ENERGIEI-14099845126,Piața Energiei,45.4395241,28.0214097
PIATA-ENERGIEI-6894604134,Piața Energiei,45.4392824,28.0218419
PIATA-ENERGIEI-6896006837,Piața Energiei,45.4398644,28.0205822
PIATA-MICRO-17-6894593242,Piața Micro 17,45.4193525,28.0140284
PIATA-MICRO-17-6896006822,Piața Micro 17,45.4193765,28.0138592
PIATA-MICRO-39-6895095257,Piața Micro 39,45.4548291,28.0247599
PIATA-MICRO-39-6896006844,Piața Micro 39,45.4543572,28.0238786
PIATA-TIGLINA-1-6905457929,Piața Țiglina 1,45.4253052,28.0293943
PIATA-TIGLINA-1-6905457936,Piața Țiglina 1,45.4253484,28.0292427
PIETRICICA-14103649675,Pietricica,45.4881812,28.0330537
PIETRICICA-14103649677,Pietricica,45.4882297,28.0332463
PLAJA-DUNAREA-14090652421,Plaja Dunărea,45.4137758,28.0292958
PODGORENILOR-14103873211,Podgorenilor,45.5451656,27.9909873
PODGORENILOR-14104248909,Podgorenilor,45.5450807,27.9910343
POLIGON-14090544325,Poligon,45.4080572,27.9981790
POLIGON-14090544330,Poligon,45.4081074,27.9980931
POLIGONULUI-FLORICULTURA-14103649651,Poligonului-Floricultura,45.4926989,28.0327903
POLIGONULUI-VALE-14103649667,Poligonului Vale,45.4931138,28.0262426
POTCOAVA-DE-AUR-6875033916,Potcoava de aur,45.4327326,28.0504231
PRELUNGIREA-PRUNULUI-14103873219,Prelungirea prunului,45.5373319,28.0041805
PRIMARIE-14103873225,Primărie,45.5316196,28.0147958
PRIVILEGE-6878557415,Privilege,45.4264471,28.0233218
PRIVILEGE-6878557416,Privilege,45.4261475,28.0233600
RADU-NEGRU-6879824358,Radu Negru,45.4589088,28.0465985
RELEU-14090544323,Releu,45.4052223,27.9924348
RELEU-14090544327,Releu,45.4052609,27.9923930
RIZER-14093679179,Rizer,45.4507777,28.0422796
RIZER-14093698654,Rizer,45.4506461,28.0424342
ROMTELECOM-BANCI-472614576,Romtelecom - Bănci,45.4286741,28.0396232
SALA-SPORTURILOR-14099815416,Sala Sporturilor,45.4196605,28.0212290
SALA-SPORTURILOR-6896716339,Sala Sporturilor,45.4195388,28.0214699
SALA-SPORTURILOR-6897924689,Sala Sporturilor,45.4199200,28.0207213
SCOALA-14103873227,Școală,45.5296069,28.0162449
SCOALA-14104199093,Școală,45.5294848,28.0149814
SCOALA-NR-40-6894593244,Școala Nr. 40,45.4173262,28.0101278
SCOALA-NR-40-6896163912,Școala Nr. 40,45.4170616,28.0093162
SELGROS-14086946895,Selgros,45.4057111,28.0185789
SERVICE-VECHI-6893391133,Service Vechi,45.4168495,28.0124289
SHOPPING-CITY-6960963010,Shopping City,45.4517433,28.0333180
SIDERURGISTUL-14088449866,Siderurgistul,45.4195125,28.0286957
SPITALUL-DE-COPII-14099845129,Spitalul de copii,45.4310170,28.0249794
SPITALUL-JUDETEAN-DE-URGENTA-530187911,Spitalul Județean de Urgență,45.4193509,28.0177710
SPITALUL-MILITAR-6895095250,Spitalul Militar,45.4500767,28.0436126
SPITALUL-MILITAR-6896006852,Spitalul Militar,45.4488580,28.0440525
SPITALUL-MUNICIPAL-6895570669,Spitalul Municipal,45.4591894,28.0389306
SPITALUL-MUNICIPAL-6896006858,Spitalul Municipal,45.4594392,28.0386342
SPITALUL-NR-3-14101713883,Spitalul Nr. 3,45.4654051,28.0326025
STADIONUL-OTELUL-14099815418,Stadionul Oțelul,45.4308409,28.0231488
STAER-INTERMEDIA-14103649673,Staer Intermedia,45.4915994,28.0330755
STAER-PC-14103649671,Staer (PC),45.4914476,28.0328273
STATIE-CARBURANTI-14103649653,Stație Carburanți,45.4997839,28.0317030
STEFAN-CEL-MARE-14101695639,Ștefan cel Mare,45.4656827,28.0239375
STEFAN-CEL-MARE-14103649655,Ștefan cel Mare,45.4992565,28.0246634
STEJARULUI-14103799415,Stejarului,45.5302703,28.0232299
STEJARULUI-14104199091,Stejarului,45.5301912,28.0233318
STR-BRAILEI-14093112483,Str. Brăilei,45.4064396,27.9884472
STR-BRAILEI-14093112489,Str. Brăilei,45.4066105,27.9881870
STR-GHEORGHE-DOJA-6963443061,Str. Gheorghe Doja,45.4347349,28.0269851
STRADA-9-MAI-6894604130,Strada 9 Mai,45.4449811,28.0233267
STRADA-ALEXANDRU-MORUZZI-14090438573,Strada Alexandru Moruzzi,45.4403339,28.0659666
STRADA-ALEXANDRU-MORUZZI-14090438580,Strada Alexandru Moruzzi,45.4405323,28.0660140
STRADA-ARCASILOR-14101695641,Strada Arcașilor,45.4657372,28.0282912
STRADA-ARCASILOR-14101713887,Strada Arcașilor,45.4655664,28.0285042
STRADA-AUREL-VLAICU-6894604128,Strada Aurel Vlaicu,45.4479263,28.0250515
STRADA-AUREL-VLAICU-6960962995,Strada Aurel Vlaicu,45.4482074,28.0265962
STRADA-AUREL-VLAICU-6963443072,Strada Aurel Vlaicu,45.4480326,28.0266552
STRADA-CEZAR-6895095246,Strada Cezar,45.4525210,28.0423838
STRADA-CEZAR-6896006854,Strada Cezar,45.4525968,28.0421792
STRADA-CRIZANTEMELOR-6899129579,Strada Crizantemelor,45.4343852,28.0364714
STRADA-DUMBRAVA-ROSIE-6899023168,Strada Dumbrava Roșie,45.4693589,28.0342615
STRADA-DUMBRAVA-ROSIE-6899152592,Strada Dumbrava Roșie,45.4692975,28.0340694
STRADA-FORTURILOR-NR-15-14103649663,Strada Forturilor Nr. 15,45.4933270,28.0194181
STRADA-FRUNZEI-14099845132,Strada Frunzei,45.4207909,28.0199186
STRADA-GEORGE-COSBUC-14101559977,Strada George Coșbuc,45.4413468,28.0364314
STRADA-GEORGE-COSBUC-14101559985,Strada George Coșbuc,45.4410657,28.0354085
STRADA-GHEORGHE-DOJA-14099815419,Strada Gheorghe Doja,45.4337834,28.0254902
STRADA-GHEORGHE-DOJA-14099845128,Strada Gheorghe Doja,45.4335486,28.0254037
STRADA-GHEORGHE-DOJA-6896006833,Strada Gheorghe Doja,45.4341258,28.0241168
STRADA-GHEORGHE-DOJA-6960963007,Strada Gheorghe Doja,45.4342340,28.0271486
STRADA-IONEL-FERNIC-6898532661,Strada Ionel Fernic,45.4566036,28.0188122
STRADA-LEMNARI-6896966050,Strada Lemnari,45.4449763,28.0754757
STRADA-LEMNARI-6897791671,Strada Lemnari,45.4452169,28.0757068
STRADA-MARINARILOR-14103649661,Strada Marinarilor,45.4957730,28.0194001
STRADA-MIHAIL-KOGALNICEANU-6899023182,Strada Mihail Kogălniceanu,45.4343522,28.0366766
STRADA-OLTULUI-6878887889,Strada Oltului,45.4257868,28.0172288
STRADA-OLTULUI-6894593237,Strada Oltului,45.4249612,28.0174258
STRADA-OTELARILOR-6896713528,Strada Oțelarilor,45.4143701,28.0191223
STRADA-OTELARILOR-6897924685,Strada Oțelarilor,45.4145323,28.0190191
